Time,DistanceF,DistanceS
4903.297,1234.0,447.0
4903.404,1228.0,445.0
4903.509,1203.0,464.0
4903.603,1165.0,592.0
4903.702,1110.0,625.0
4903.818,1041.0,568.0
4903.911,961.0,575.0
4904.006,876.0,551.0
4904.123,780.0,436.0
4904.212,681.0,446.0
4904.314,574.0,802.0
4904.419,469.0,1168.0
4904.523,358.0,1166.0
4904.622,249.0,1173.0
4904.722,173.0,1178.0
4904.818,126.0,1175.0
4904.925,106.0,1174.0
4905.02,110.0,1175.0
4905.126,117.0,1179.0
4905.229,127.0,1177.0
4905.333,143.0,1174.0
4905.431,166.0,1174.0
4905.539,188.0,1178.0
4905.631,222.0,1176.0
4905.736,249.0,1180.0
4905.834,275.0,1178.0
4905.94,305.0,1178.0
4906.046,333.0,1172.0
4906.138,367.0,1172.0
4906.242,389.0,1169.0
4906.348,393.0,1168.0
4906.44,387.0,1171.0
4906.545,378.0,1169.0
4906.646,360.0,1167.0
4906.749,340.0,1172.0
4906.849,315.0,1174.0
4906.951,299.0,1178.0
4907.05,299.0,1178.0
4907.149,300.0,1180.0
4907.25,298.0,1177.0
4907.351,298.0,1179.0
4907.452,300.0,1179.0
4907.554,299.0,1178.0
4907.655,300.0,1177.0
4907.756,299.0,1177.0
4907.857,298.0,1181.0
4907.962,298.0,1181.0
4908.06,300.0,1177.0
4908.171,300.0,1179.0
4908.262,300.0,1180.0
4908.364,299.0,1177.0
4908.466,301.0,1178.0
4908.568,298.0,1178.0
4908.679,300.0,1176.0
4908.77,300.0,1176.0
4908.871,301.0,1178.0
4908.975,300.0,1177.0
4909.074,300.0,1178.0
4909.175,298.0,1179.0
4909.278,301.0,1178.0
4909.377,302.0,1179.0
4909.488,303.0,1177.0
4909.581,300.0,1175.0
4909.683,303.0,1178.0
4909.783,306.0,1175.0
4909.884,305.0,1177.0
4909.986,305.0,1177.0
4910.087,304.0,1180.0
4910.189,306.0,1176.0
4910.29,305.0,1177.0
4910.392,306.0,1179.0
4910.492,305.0,1176.0
4910.594,305.0,1176.0
4910.695,304.0,1173.0
4910.796,304.0,1176.0
4910.897,305.0,1175.0
4911.001,306.0,1176.0
4911.101,305.0,1176.0
4911.202,305.0,1176.0
4911.303,303.0,1177.0
4911.404,303.0,1177.0
4911.509,306.0,1174.0
4911.607,304.0,1177.0
4911.708,303.0,1176.0
4911.81,304.0,1178.0
4911.911,305.0,1178.0
4912.012,304.0,1176.0
4912.114,303.0,1178.0
4912.216,303.0,1175.0
4912.316,304.0,1174.0
4912.418,304.0,1179.0
4912.521,304.0,1178.0
4912.623,304.0,1178.0
4912.721,304.0,1179.0
4912.826,304.0,1176.0
4912.927,304.0,1176.0
4913.026,304.0,1174.0
4913.127,304.0,1178.0
4913.232,305.0,1177.0
