Time,DistPWM
53.617,141.0
53.621,141.0
53.632,141.0
53.637,141.0
53.645,141.0
53.659,141.0
53.673,141.0
53.684,141.0
53.695,141.0
53.706,141.0
53.718,141.0
53.732,141.0
53.743,141.0
53.754,141.0
53.765,141.0
53.777,141.0
53.792,141.0
53.807,141.0
53.819,139.0
53.832,139.0
53.843,139.0
53.854,138.0
53.865,138.0
53.877,138.0
53.888,138.0
53.894,138.0
53.905,138.0
53.921,135.0
53.936,135.0
53.942,134.0
53.951,134.0
53.959,134.0
53.965,134.0
53.976,133.0
53.988,133.0
53.998,132.0
54.008,132.0
54.02,131.0
54.031,130.0
54.041,129.0
54.052,129.0
54.063,128.0
54.075,128.0
54.086,127.0
54.092,127.0
54.103,126.0
54.115,126.0
54.125,122.0
54.135,122.0
54.146,121.0
54.157,120.0
54.168,119.0
54.182,118.0
54.195,117.0
54.206,116.0
54.218,115.0
54.229,114.0
54.239,113.0
54.25,112.0
54.261,111.0
54.272,110.0
54.283,109.0
54.294,108.0
54.306,107.0
54.317,106.0
54.323,105.0
54.339,104.0
54.349,103.0
54.363,102.0
54.374,101.0
54.385,100.0
54.396,100.0
54.409,98.0
54.418,98.0
54.43,94.0
54.44,93.0
54.451,92.0
54.461,91.0
54.475,90.0
54.488,88.0
54.5,87.0
54.517,85.0
54.522,84.0
54.533,84.0
54.543,83.0
54.56,81.0
54.572,80.0
54.583,79.0
54.597,77.0
54.615,75.0
54.626,74.0
54.638,72.0
54.647,71.0
54.662,69.0
54.674,68.0
54.686,66.0
54.698,65.0
54.711,63.0
54.721,62.0
54.727,62.0
54.738,61.0
54.742,60.0
54.751,59.0
54.759,58.0
54.764,58.0
54.771,57.0
54.775,56.0
54.786,55.0
54.792,55.0
54.798,54.0
54.809,53.0
54.826,51.0
54.837,0.0
55.753,148.0
55.756,148.0
55.773,150.0
55.784,151.0
55.795,152.0
55.801,153.0
55.807,154.0
55.817,155.0
55.828,156.0
55.839,157.0
55.849,148.0
55.86,148.0
55.866,148.0
55.872,148.0
55.878,148.0
55.895,149.0
55.905,149.0
55.924,149.0
55.936,149.0
55.945,149.0
55.957,146.0
55.967,146.0
55.978,146.0
55.995,145.0
56.01,145.0
56.027,144.0
56.041,144.0
56.049,144.0
56.062,141.0
56.071,141.0
56.084,140.0
56.099,140.0
56.113,139.0
56.12,139.0
56.131,138.0
56.142,138.0
56.156,136.0
56.17,135.0
56.181,135.0
56.192,134.0
56.198,134.0
56.209,133.0
56.221,132.0
56.23,132.0
56.246,131.0
56.254,128.0
56.263,128.0
56.274,127.0
56.291,125.0
56.302,124.0
56.313,124.0
56.328,122.0
56.343,121.0
56.35,121.0
56.361,119.0
56.376,117.0
56.382,117.0
56.391,116.0
56.402,115.0
56.415,114.0
56.422,113.0
56.426,113.0
56.432,112.0
56.442,111.0
56.448,111.0
56.453,110.0
56.464,108.0
56.477,107.0
56.495,104.0
56.506,103.0
56.519,102.0
56.53,101.0
56.543,99.0
56.554,98.0
56.572,96.0
56.581,95.0
56.592,94.0
56.598,93.0
56.608,92.0
56.617,91.0
56.628,90.0
56.639,88.0
56.65,87.0
56.665,83.0
56.675,81.0
56.688,80.0
56.699,78.0
56.71,76.0
56.726,74.0
56.743,72.0
56.754,70.0
56.76,69.0
56.767,70.0
56.776,68.0
56.787,67.0
56.792,66.0
56.797,66.0
56.807,64.0
56.824,62.0
56.834,61.0
56.85,59.0
56.863,56.0
56.872,55.0
56.888,53.0
56.899,51.0
56.91,0.0
56.921,-51.0
